"filename", "language", "C++", "CMake", "Markdown", "YAML", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\updated\sds\Mystica\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 7, 17
"d:\Flutter_projects\updated\sds\Mystica\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 23, 4, 30
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.dart", "Dart", 0, 0, 0, 0, 153, 45, 41, 239
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.g.dart", "Dart", 0, 0, 0, 0, 2160, 2, 99, 2261
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\album_entity.dart", "Dart", 0, 0, 0, 0, 6, 0, 2, 8
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\image_entity.dart", "Dart", 0, 0, 0, 0, 8, 0, 2, 10
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\journal_entity.dart", "Dart", 0, 0, 0, 0, 8, 0, 2, 10
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\note_entity.dart", "Dart", 0, 0, 0, 0, 10, 0, 2, 12
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\notebook_entity.dart", "Dart", 0, 0, 0, 0, 9, 0, 2, 11
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\remainder_entity.dart", "Dart", 0, 0, 0, 0, 8, 0, 2, 10
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\todo_entity.dart", "Dart", 0, 0, 0, 0, 7, 0, 2, 9
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\user_entity.dart", "Dart", 0, 0, 0, 0, 7, 0, 2, 9
"d:\Flutter_projects\updated\sds\Mystica\lib\main.dart", "Dart", 0, 0, 0, 0, 79, 9, 4, 92
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Gallery\Album.dart", "Dart", 0, 0, 0, 0, 13, 0, 3, 16
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Gallery\ImageAttr.dart", "Dart", 0, 0, 0, 0, 15, 0, 2, 17
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Journal\Journal.dart", "Dart", 0, 0, 0, 0, 14, 0, 2, 16
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Notebook\Note.dart", "Dart", 0, 0, 0, 0, 16, 0, 2, 18
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Notebook\Notebook.dart", "Dart", 0, 0, 0, 0, 14, 0, 2, 16
"d:\Flutter_projects\updated\sds\Mystica\lib\models\reminder\reminder.dart", "Dart", 0, 0, 0, 0, 12, 0, 2, 14
"d:\Flutter_projects\updated\sds\Mystica\lib\models\todo\todo.dart", "Dart", 0, 0, 0, 0, 12, 0, 2, 14
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\get_started_screen.dart", "Dart", 0, 0, 0, 0, 50, 5, 2, 57
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\home_screen.dart", "Dart", 0, 0, 0, 0, 305, 4, 4, 313
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\login_screen.dart", "Dart", 0, 0, 0, 0, 329, 27, 12, 368
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\profile_screen.dart", "Dart", 0, 0, 0, 0, 274, 16, 9, 299
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\signup_screen.dart", "Dart", 0, 0, 0, 0, 295, 19, 11, 325
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\album_screen.dart", "Dart", 0, 0, 0, 0, 133, 11, 3, 147
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\create_album_screen.dart", "Dart", 0, 0, 0, 0, 74, 4, 9, 87
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\edit_album_screen.dart", "Dart", 0, 0, 0, 0, 72, 3, 3, 78
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\add_image_screen.dart", "Dart", 0, 0, 0, 0, 62, 2, 8, 72
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\image_screen.dart", "Dart", 0, 0, 0, 0, 184, 14, 6, 204
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\create_journal_screen.dart", "Dart", 0, 0, 0, 0, 128, 6, 12, 146
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\detail_journal_screen.dart", "Dart", 0, 0, 0, 0, 102, 1, 4, 107
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\edit_journal_screen.dart", "Dart", 0, 0, 0, 0, 171, 6, 12, 189
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\journal_screen.dart", "Dart", 0, 0, 0, 0, 253, 12, 12, 277
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\create_notebook_screen.dart", "Dart", 0, 0, 0, 0, 158, 1, 14, 173
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\edit_notebook.dart", "Dart", 0, 0, 0, 0, 129, 6, 12, 147
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\create_note.dart", "Dart", 0, 0, 0, 0, 14, 0, 4, 18
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\detail_note_screen.dart", "Dart", 0, 0, 0, 0, 99, 1, 6, 106
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\edit_note_screen.dart", "Dart", 0, 0, 0, 0, 66, 0, 7, 73
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\note_screen.dart", "Dart", 0, 0, 0, 0, 100, 0, 6, 106
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\notebook_screen.dart", "Dart", 0, 0, 0, 0, 239, 8, 14, 261
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\reminder\reminder_screen.dart", "Dart", 0, 0, 0, 0, 252, 7, 12, 271
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\todo\todo_screen.dart", "Dart", 0, 0, 0, 0, 250, 14, 30, 294
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\testing.dart", "Dart", 0, 0, 0, 0, 86, 6, 7, 99
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_reminder.dart", "Dart", 0, 0, 0, 0, 92, 5, 9, 106
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_task.dart", "Dart", 0, 0, 0, 0, 51, 0, 9, 60
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\album_item.dart", "Dart", 0, 0, 0, 0, 84, 12, 4, 100
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\image_item.dart", "Dart", 0, 0, 0, 0, 39, 5, 5, 49
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\journal_item.dart", "Dart", 0, 0, 0, 0, 119, 3, 7, 129
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\new_image.dart", "Dart", 0, 0, 0, 0, 62, 2, 8, 72
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\note_item.dart", "Dart", 0, 0, 0, 0, 141, 1, 6, 148
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\notebook_item.dart", "Dart", 0, 0, 0, 0, 171, 3, 10, 184
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\reminder_item.dart", "Dart", 0, 0, 0, 0, 149, 8, 7, 164
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\todo_item.dart", "Dart", 0, 0, 0, 0, 123, 15, 7, 145
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\navigation.dart", "Dart", 0, 0, 0, 0, 239, 2, 4, 245
"d:\Flutter_projects\updated\sds\Mystica\pubspec.yaml", "YAML", 0, 0, 0, 42, 0, 55, 14, 111
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 4, 5, 15
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 6, 25
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 4, 13, 62
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 5, 9, 34
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 4, 10, 44
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 6, 2, 17
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 2, 10, 65
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 6, 6, 20
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 15, 48, 246
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 407, 19, 10, 45, 7646, 443, 632, 9202